Company,Symbol,companyLow,charLength,companyFinal
Material Sciences Corporation (Inactive),MASC,material sciences corporation (inactive),4,material sciences corporation
Materialise NV (ADR),MTLS,materialise nv (adr),3,materialise nv (adr)
Matlin & Partners Acquisition Corp,MPACU,matlin & partners acquisition corp,5,matlin & partners
Matlin & Partners Acquisition Corporation,MPAC,matlin & partners acquisition corporation,5,matlin & partners
Matrix Service Co,MTRX,matrix service co,3,matrix service co
Mattel ,MAT,mattel ,1,mattel
Mattersight Corp,MATR,mattersight corp,2,mattersight corp
Matthews International Corp,MATW,matthews international corp,3,matthews international corp
Mattress Firm Holding Corp,MFRM,mattress firm holding corp,4,mattress firm holding
Mattson Technology ,MTSN,mattson technology ,2,mattson technology
MaxPoint Interactive ,MXPT,maxpoint interactive ,2,maxpoint interactive
Maxim Integrated Products ,MXIM,maxim integrated products ,3,maxim integrated products
Maxwell Technologies ,MXWL,maxwell technologies ,2,maxwell technologies
Maxygen  (Inactive),MAXY,maxygen  (inactive),2,maxygen (inactive)
Mayflower Bancorp  (Inactive),MFLR,mayflower bancorp  (inactive),3,mayflower bancorp
Mazor Robotics   ADR,MZOR,mazor robotics   adr,3,mazor robotics
McCormick & Schmick's Seafood Restaurant (Inactive),MSSR,mccormick & schmick's seafood restaurant (inactive),6,mccormick & schmick's
McGrath RentCorp,MGRC,mcgrath rentcorp,2,mcgrath rentcorp
Meade Instruments Corp. (Inactive),MEAD,meade instruments corp. (inactive),4,meade instruments corp.
Measurement Specialties  (Inactive),MEAS,measurement specialties  (inactive),3,measurement specialties
Mecox Lane ,MCOX,mecox lane ,2,mecox lane
MedAssets ,MDAS,medassets ,1,medassets
MedCath Corporation (Inactive),MDTH,medcath corporation (inactive),3,medcath corporation (inactive)
Medallion Financial Corp,MFIN,medallion financial corp,3,medallion financial corp
Medgenics ,GNMX,medgenics ,1,medgenics
Medical Action Industries ,MDCI,medical action industries ,3,medical action industries
Medical Transcription Billing Corp,MTBC,medical transcription billing corp,4,medical transcription billing
